contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Luke,6,1,6.1,-0.8181818181818181,1,1,8,12,0,2,6.Luke,0,0,1,NA,-1,1,1,NA,0,0,2,9,M,30,Civil servant/house and techno DJ,Sheffield
Manon,6,1,6.1,1.9090909090909092,3,3,3,12,0,8,6.Manon,1,1,1,NA,1,1,1,1,1,0,6,9,F,26,Software project manager,London
Rahul,6,1,6.1,-0.2727272727272725,1,3,7,12,1,10,6.Rahul,0,0,1,NA,1,1,1,NA,0,0,4,9,M,30,Research scientist,Rotherham
Ruby,6,1,6.1,3,-1,-3,1,12,0,10,6.Ruby,-1,0,0,NA,-1,-1,-1,-1,0,0,-4,9,F,29,Project manager,London
Terry,6,1,6.1,-1.3636363636363638,-1,3,9,12,0,5,6.Terry,-1,1,-1,NA,1,1,1,-1,0,0,2,9,M,56,Retired air steward,West Midlands
Antony,6,2,6.2,-1.8000000000000003,1,0,9,11,0,3,6.Antony,1,1,-1,NA,0,-1,1,NA,0,0,1,9,M,30,Banker,London
Briony,6,2,6.2,0.5999999999999999,1,1,5,11,0,9,6.Briony,1,1,-1,1,-1,1,1,-1,0,0,2,9,F,33,Stay at home parent,Bristol
Dan,6,2,6.2,1.7999999999999998,3,3,3,11,0,6,6.Dan,1,1,1,1,1,1,1,1,0,0,6,9,M,36,Stay at home parent,London
Jon,6,2,6.2,3,2,3,1,11,0,7,6.Jon,1,0,1,1,1,1,1,1,0,0,5,9,M,47,Blood courier,Newport
Karen,6,2,6.2,-3,-1,3,11,11,0,5,6.Karen,-1,-1,1,-1,1,1,1,NA,0,0,2,9,F,60,In-store sampling assistant,Wakefield
Kim-Joy,6,2,6.2,1.2000000000000002,3,0,4,11,0,10,6.Kim-Joy,1,1,1,NA,-1,0,1,NA,0,0,3,9,F,27,Mental health specialist,Leeds
Luke,6,2,6.2,-0.5999999999999999,-2,-1,7,11,0,2,6.Luke,-1,0,-1,-1,-1,1,-1,-1,0,1,-3,9,M,30,Civil servant/house and techno DJ,Sheffield
Manon,6,2,6.2,0,-2,3,6,11,0,8,6.Manon,-1,-1,0,-1,1,1,1,NA,0,0,1,9,F,26,Software project manager,London
